id,name
259,ｄｉｓｎｅｙ．ｎｅ．ｊｐ
260,ｅｍｎｅｔ．ｎｅ．ｊｐ
261,ｅｍｏｂｉｌｅ．ｎｅ．ｊｐ
262,ｗｃｍ．ｎｅ．ｊｐ
263,ｗｉｌｌｃｏｍ．ｃｏｍ
264,ｐｄｘ．ｎｅ．ｊｐ
265,ｄｉ．ｐｄｘ．ｎｅ．ｊｐ
266,ｄｊ．ｐｄｘ．ｎｅ．ｊｐ
267,ｄｋ．ｐｄｘ．ｎｅ．ｊｐ
268,ｗｍ．ｐｄｘ．ｎｅ．ｊｐ　
269,零九零
270,零八零
271,ぜろきゅうぜろ
272,ぜろはちぜろ
273,ゼロキュウゼロ
274,セ゛ロキュウセ゛ロ
275,ゼロハチゼロ
276,セ゛ロハチセ゛ロ
277,〒
278,郵便番号
279,アットマーク
280,あっとまーく
281,アットマ～ク
282,あっとま～く
283,ｗｗｗ
284,体位
285,オナヌ
286,しこしこ
287,腰振
288,あおかん
289,おぱい
290,ロリコン
291,くりとりす
292,ぺにす
293,アオカン
294,せっくす
295,セックス
296,アナル
297,あなる
298,オナニ
299,おなに
300,おなにー
301,ボッキ
302,ホ゛ッキ
303,しこって
304,クンニ
305,フェラ
306,ふぇら
307,まんぐり
308,風俗
309,ふうぞく
310,フウゾク
311,フウソ゛ク
312,処女
313,ローター
314,パイパン
315,ハ゜イハ゜ン
316,ぱいぱん
317,パコパコ
318,ハ゜コハ゜コ
319,ハメっ
320,剃毛
321,ＳＭ
322,ラブドール
323,ラフ゛ト゛ール
324,らぶどーる
325,オナホール
326,オナホ
327,電マ
328,ゴム付き
329,コ゛ム付き
330,ゴム無し
331,コ゛ム無し
332,ちんちん
333,ピンロー
334,ヒ゜ンロー
335,ぴんさろ
336,きもい
337,キモイ
338,きめえ
339,百姓
340,在日
341,ニガー
342,ニカ゛ー
343,ニグロ
344,ニク゛ロ
345,あいのこ
346,あきめくら
347,ウリナリ
348,婦女
349,きちがい
350,キチガイ
351,キチカ゛イ
352,ヤリチン
353,ヤリマン
354,めくら
355,ロンパリ
356,ロンハ゜リ
357,かさっかり
358,びっこ
359,ちんば
360,いざり
361,つんぼ
362,どもり
363,自閉症
364,くろんぼ
365,クロンボ
366,クロンホ゛
367,チャンコロ
368,コリアン
369,同和
370,土人
371,シャブ
372,シャフ゛
373,シャブ中
374,シャフ゛中
375,うんち
376,うんこ
377,エログロ
378,エロク゛ロ
379,借金
380,暴行
381,くたばれ
382,ころす
383,コロス
384,やくざ
385,暴力団
